transaction_hash,sender_address,receiver_address,amount_eth,timestamp,gas_used,gas_price,block_number,gas_cost_eth,date,hour,day_of_week,month,is_standard_stake
0x0c6a3be97163b36de46e98f0abb6df2713cd16a4c8812a826ef05a6df9bdeafb,0xeb135ccaeefaf442c15e0249b042e354e75922e6,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xb1f40b65b7f26a1fb8f05935b947f0fddc1688744461396166a66a33fba26a2c,0x7c57494fb79c93529db7bc29edff70ddcf0d2e6a,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53426,1594593071,21997866,8.5192729411246e-05,2025-03-07,22,Friday,March,True
0x7aff4660c9183ed41eee86edbbc6a5699d75e5f1c3fe9b5115b3a536c5152a86,0x1a42c3d11fe008533a56667122a0fe3c6c191498,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50450,1594593071,21997866,8.044722043195e-05,2025-03-07,22,Friday,March,True
0x6d992781d8da008f3fe5e1c51f2abee2b0cac483675f621a37780509513f8bc0,0x4802ea6d139437f068ccd408a844e7c5ce3c2fa7,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56390,1594593071,21997866,8.991910327369e-05,2025-03-07,22,Friday,March,True
0x7e150ac16e54600dd980883be88a468677449fbc087b26b9bbbcd9a00eefb314,0xa10cb11a98fe633a139479893571c2f784ae152c,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50450,1594593071,21997866,8.044722043195e-05,2025-03-07,22,Friday,March,True
0x700e83c78542d962a29772ff0bcb0991eb4ce21ad8776815a0b39581c949121c,0xc4366fadc8b83ebf8a26911e239c92844ae6de02,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53414,1594593071,21997866,8.5173594294394e-05,2025-03-07,22,Friday,March,True
0x348972ca464853fcdeee8f8421094c5f62174cabed43138b675722c461f3638e,0x2043dd9295fd9fc7d0e5b4381675ddbf30b1c854,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x31a9f541de7429947a3286198ab113d9d7a751d31b9138a446c306068b01d42f,0xaa149cf8c812832a77fb00645c6405b0104e5c9a,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,62343,1594593071,21997866,9.9411715825353e-05,2025-03-07,22,Friday,March,True
0xc2152ba244f348b910cdee3b66dd700afb452b44554caa2714a999dd535365b3,0x0c258bb0538f4fafdb5d4d30d40528e9b679d25f,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x6979de993518b6d124e89ef68eb2e872b8c76d5ec2b0ab3513789560d31475d6,0x7b0c998d48856e28763c827c134c6c66ae888f0c,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53402,1594593071,21997866,8.5154459177542e-05,2025-03-07,22,Friday,March,True
0xad7c9cda345da63385a1e682a1e0eec52855222c970019a25e0ea055b452d3a2,0xb762a99edd4731efd8ed368134232135a96d6ce1,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x0506466d0ea9f9c8dcbf02ba877e1abfb21049e7a08471a70099ef5d71d2ed7b,0x9d7ba1aeab8945e4c71d9fa55d03e987d83b329f,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56414,1594593071,21997866,8.9957373507394e-05,2025-03-07,22,Friday,March,True
0x139612e47784a97e1571bfe63a981d2ed7b80e264af72fae2846c26f9fff2f35,0x6439d77c22a78ac777fa225673bb3f05e64b1236,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50438,1594593071,21997866,8.0428085315098e-05,2025-03-07,22,Friday,March,True
0x91ae3b2f5136368eecf6a54fe6291ec4619c12e437eba05af16916d555ad5f99,0xfa7f573fc547af90b89154849e82f5483559d334,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53438,1594593071,21997866,8.5211864528098e-05,2025-03-07,22,Friday,March,True
0x1a521ca8f14f9b234c76a3e11795c4051402d5ffb027802eff8f2c1413d4467b,0x32da08b85ebeb89549cffb942620a7852a9e2f0d,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0x8360d9973a5a12635a9b201caf4403a5bcfe3766ab0533c8483b4ccbb08bed17,0xa06958f34898ad8fbc4e672ff5d843e34f0c6c28,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,59391,1594593071,21997866,9.4704477079761e-05,2025-03-07,22,Friday,March,True
